citing_paperid,cited_paperid,year,ref_year,year_diff
W3047784567,W2990244380,2020,2020,0
W4319261535,W4292749517,2023,2022,1
W4220662354,W3104456695,2022,2020,2
W4221161424,W3112705461,2022,2020,2
W3126904748,W3031371307,2021,2020,1
W3126904748,W3031481217,2021,2020,1
W3157014525,W2999954992,2021,2020,1
W4280649450,W3193616607,2022,2021,1
W3186614190,W3006624400,2021,2020,1
W4388212232,W3002514439,2023,2020,3
W3016242958,W3002514439,2020,2020,0
W3164612396,W3126904748,2021,2021,0
W4385334593,W3002514439,2023,2020,3
W3083519894,W3003438997,2020,2020,0
W3083519894,W3090611070,2020,2020,0
W3088663596,W3007289092,2020,2020,0
W4319984909,W3180066967,2023,2021,2
W4323347967,W3082929259,2023,2020,3
W4282839674,W3031481217,2022,2020,2
W3048837390,W3002514439,2021,2020,1
W4388233718,W3157298323,2023,2021,2
W4390109047,W3091300748,2023,2020,3
W4390115217,W3157370420,2023,2021,2
W4365458234,W3207607446,2023,2021,2
W4385341057,W3006624400,2023,2020,3
W4387707675,W3082929259,2023,2020,3
W4388568392,W3007289092,2023,2020,3
W4392201589,W3007289092,2024,2020,4
W4392875384,W4389219195,2024,2023,1
W4393987643,W3087520506,2024,2020,4
W4396645823,W3087520506,2024,2020,4
W4397034368,W3031481217,2024,2020,4
W4402279989,W3108357298,2024,2020,4
W4372780929,W3104456695,2023,2020,3
W4378222289,W4362460292,2023,2023,0
W4385386850,W3110897762,2023,2020,3
W4386737666,W4285796145,2023,2022,1
W4386750282,W3028639067,2023,2020,3
W4388075889,W3181865815,2023,2021,2
W4388223311,W4223933215,2023,2022,1
W4389254004,W3103249619,2023,2020,3
W4389254081,W3103249619,2023,2020,3
W4399118513,W3090611070,2024,2020,4
W4401815612,W4282975246,2024,2022,2
W4405247957,W4362666447,2024,2023,1
W4405893623,W4294266749,2024,2022,2
W4405894726,W3007289092,2024,2020,4
W4212923294,W3110897762,2022,2020,2
W4225009033,W3087520506,2022,2020,2
W4297094586,W3007289092,2022,2020,2
W4385334689,W3193616607,2023,2021,2
W4225254165,W3087520506,2022,2020,2
W4328130271,W3002514439,2023,2020,3
W4328130271,W3098269486,2023,2020,3
W3161152326,W3104456695,2017,2020,-3
W3083736874,W3023112091,2020,2020,0
W4285731519,W3006624400,2022,2020,2
W4312073678,W3002514439,2022,2020,2
W4312073678,W3098269486,2022,2020,2
W4312073678,W3100150241,2022,2020,2
W4312073678,W3112705461,2022,2020,2
W4312073678,W3157298323,2022,2021,1
W4312073678,W3179623808,2022,2022,0
W4312073678,W3215649946,2022,2022,0
W4388249020,W3104456695,2023,2020,3
W4318218827,W3016392224,2023,2020,3
W4318218827,W3033445195,2023,2020,3
W4318218827,W3036216932,2023,2020,3
W4318218827,W3037896324,2023,2020,3
W4306765269,W3161317927,2022,2020,2
W3191403292,W3127814427,2021,2021,0
W4221148557,W3126904748,2022,2021,1
W4285119985,W3033445195,2022,2020,2
W3166383344,W3023596262,2024,2020,4
W4210566847,W3102288906,2022,2020,2
W4292263282,W3007289092,2022,2020,2
W4282915363,W3093156908,2022,2020,2
W4306703440,W3002514439,2022,2020,2
W4307896072,W3025096263,2022,2020,2
W4309470042,W3098269486,2022,2020,2
W4384080217,W4319300024,2023,2023,0
W4385380430,W4309874710,2023,2022,1
W4385743456,W3104456695,2023,2020,3
W4390940280,W3193616607,2024,2021,3
W4392241962,W3112705461,2024,2020,4
W4392241962,W3179623808,2024,2022,2
W4220840754,W3181865815,2022,2021,1
W4391172911,W3103249619,2024,2020,4
W4392234008,W3005209474,2024,2020,4
W3193250911,W3102288906,2021,2020,1
W3199390023,W3082929259,2021,2020,1
W3158771062,W3036271934,2021,2020,1
W4382520353,W3002514439,2023,2020,3
W4311517194,W3000785296,2022,2020,2
W3170555614,W3082929259,2021,2020,1
W4241309878,W3082929259,2021,2020,1
W4394064525,W2990244380,2024,2020,4
W4394967202,W3004438196,2024,2020,4
W4396218431,W4390910347,2024,2024,0
W4396238409,W3108357298,2024,2020,4
W4399354641,W3033445195,2024,2020,4
W4399386846,W4389170306,2024,2023,1
W4399673454,W3007289092,2024,2020,4
W4399680408,W3135164607,2024,2021,3
W4399681119,W4321605416,2024,2023,1
W4400581383,W3082929259,2024,2020,4
W4400584213,W3128893584,2024,2021,3
W4400613736,W3006371779,2024,2020,4
W4401970454,W3023596262,2024,2020,4
W4402013811,W4391847284,2024,2024,0
W4402236512,W3104456695,2024,2020,4
W4403607897,W3082929259,2024,2020,4
W4403613263,W3087520506,2024,2020,4
W4403627065,W3108357298,2024,2020,4
W4403680316,W3091426098,2024,2020,4
W4403684869,W3007289092,2024,2020,4
W4404494484,W4362666447,2024,2023,1
W4404499878,W2999954992,2024,2020,4
W4404499878,W4388336451,2024,2023,1
W4404500844,W3155772624,2024,2021,3
W4404851827,W3082929259,2024,2020,4
W4405168378,W3104456695,2024,2020,4
W4405192997,W4313593941,2024,2023,1
W3202266404,W3087520506,2021,2020,1
W3207579307,W3014685674,2021,2020,1
W4281663547,W3033445195,2022,2020,2
W3204916163,W3102288906,2021,2020,1
W4312142482,W3087520506,2022,2020,2
W4391450165,W3002514439,2024,2020,4
W4292714509,W3104456695,2022,2020,2
W3206413021,W3002514439,2021,2020,1
W4386169069,W3098269486,2023,2020,3
W4386169069,W3215649946,2023,2022,1
W4399797820,W3087520506,2024,2020,4
W4399823984,W4206961112,2024,2022,2
W4400585925,W4224230492,2024,2022,2
W4400585925,W4400585925,2024,2024,0
W4400585925,W4402543641,2024,2024,0
W4400616541,W4386745843,2024,2023,1
W4402222888,W3157370420,2024,2021,3
W4380153064,W3002514439,2023,2020,3
W4380153064,W3215649946,2023,2022,1
W4319983904,W3193616607,2023,2021,2
W3166671329,W3082929259,2021,2020,1
W3178998959,W3126904748,2022,2021,1
W4386541182,W3157298323,2023,2021,2
W4386541182,W3173189857,2023,2021,2
W4388832909,W4253015820,2023,2021,2
W4389276236,W4282975246,2023,2022,1
W4389280438,W3169647704,2023,2021,2
W4390280211,W3082929259,2023,2020,3
W4390930255,W4294390828,2023,2022,1
W4391450245,W4321495806,2024,2023,1
W4392018774,W3082929259,2024,2020,4
W4392055912,W3110897762,2024,2020,4
W4392476589,W3110897762,2024,2020,4
W4393900471,W4214551699,2024,2022,2
W3135162801,W3108357298,2021,2020,1
W3187549299,W3047288244,2021,2020,1
W3199241770,W3098269486,2021,2020,1
W3199241770,W3157298323,2021,2021,0
W4210914710,W3007289092,2021,2020,1
W3165414037,W3036271934,2021,2020,1
W4324144083,W3091426098,2023,2020,3
W3163999153,W3153348583,2021,2021,0
W3183142973,W3087520506,2021,2020,1
W3184533515,W3006624400,2021,2020,1
W4200197250,W3093156908,2021,2020,1
W4321377305,W3007289092,2023,2020,3
W4200273810,W3016392224,2021,2020,1
W4292212802,W3082710058,2022,2020,2
W3191581918,W3033445195,2021,2020,1
W4388835104,W4293246634,2023,2022,1
W3178281336,W3128923614,2021,2021,0
W3201856682,W3029247755,2021,2020,1
W4205448281,W3033445195,2021,2020,1
W2103870469,W3091300748,2013,2020,-7
W4210891049,W3007289092,2022,2020,2
W3047037388,W3098269486,2020,2020,0
W4212930884,W3157370420,2022,2021,1
W4212958985,W3110910900,2022,2020,2
W4240162129,W3082929259,2021,2020,1
W4240359415,W3185391284,2021,2021,0
W4292737023,W3161317927,2022,2020,2
W4392465408,W4200424813,2024,2021,3
W4393898907,W3203271498,2024,2021,3
W4394064616,W4387681623,2024,2023,1
W4402206264,W4362500842,2024,2023,1
W3206701352,W3033445195,2021,2020,1
W3213855074,W4391759622,2021,2024,-3
W4308144577,W3098269486,2022,2020,2
W4308144577,W3157298323,2022,2021,1
W4321748962,W3082929259,2023,2020,3
W4378717598,W3033445195,2023,2020,3
W4379981291,W3108332904,2023,2020,3
W4385200411,W4312279772,2023,2022,1
W4385230393,W3086001655,2023,2020,3
W4387108831,W3033445195,2023,2020,3
W4387606664,W3087520506,2023,2020,3
W4393854495,W3203271498,2024,2021,3
W4396845544,W3087520506,2024,2020,4
W4399371519,W3038158166,2024,2020,4
W4300773424,W3086001655,2022,2020,2
W4313839522,W4294001437,2023,2022,1
W4313839522,W4402367518,2023,2024,-1
W4321367774,W3033445195,2023,2020,3
W4321367774,W3036216932,2023,2020,3
W4323322455,W3082929259,2023,2020,3
W4366770348,W3103249619,2022,2020,2
W4367294277,W3110897762,2023,2020,3
W4368370046,W3161317927,2023,2020,3
W4385224436,W3037896324,2023,2020,3
W4385794571,W4362666447,2023,2023,0
W4213205386,W3082929259,2022,2020,2
W4296198983,W3091426098,2022,2020,2
W3164172119,W3087520506,2021,2020,1
W4205370976,W3040914357,2022,2020,2
W4224041555,W3086001655,2022,2020,2
W4388034339,W4362666447,2023,2023,0
W4388039109,W3040914357,2023,2020,3
W4388074000,W4200424813,2023,2021,2
W4388100773,W3108357298,2023,2020,3
W4388494639,W3038158166,2023,2020,3
W4388505518,W3023596262,2023,2020,3
W4389326116,W3214890831,2023,2022,1
W4389941163,W2999954992,2023,2020,3
W4389956376,W3086001655,2023,2020,3
W4389979424,W3007289092,2023,2020,3
W4390014658,W3037896324,2023,2020,3
W4390032998,W3007289092,2023,2020,3
W4390691608,W4389296008,2024,2023,1
W4390914689,W3033445195,2022,2020,2
W4391283482,W4206961112,2024,2022,2
W4391619955,W3033445195,2024,2020,4
W4391619955,W3037896324,2024,2020,4
W4392445770,W3093156908,2024,2020,4
W4392524669,W3033445195,2023,2020,3
W4394564790,W4362666447,2023,2023,0
W4394568018,W4229366141,2024,2022,2
W4399199509,W3104456695,2024,2020,4
W4399428770,W4385576936,2024,2023,1
W4399871908,W4200233415,2024,2021,3
W4400648314,W4362500842,2024,2023,1
W4400651952,W3217730222,2024,2021,3
W4400656390,W4313593941,2024,2023,1
W4400664073,W3104456695,2024,2020,4
W4400726390,W4319300024,2024,2023,1
W4402511972,W3193616607,2024,2021,3
W4402720007,W3033445195,2024,2020,4
W4200458474,W3102288906,2021,2020,1
W4310726582,W3102288906,2022,2020,2
W3163050510,W3102288906,2020,2020,0
W3159347419,W3128923614,2021,2021,0
W4210678775,W3103249619,2022,2020,2
W4283643894,W3214307450,2022,2021,1
W3206404599,W3098269486,2021,2020,1
W4248931519,W3088515156,2020,2020,0
W3135128092,W3115399118,2021,2020,1
W4312199710,W3033445195,2022,2020,2
W4313409025,W3094008430,2022,2020,2
W4313857496,W3158348195,2023,2021,2
W4313906627,W2999954992,2022,2020,2
W4315866310,W3181865815,2023,2021,2
W4327612745,W3082929259,2023,2020,3
W4327621211,W3108332904,2023,2020,3
W4360953189,W4294390828,2023,2022,1
W4377866275,W4378576332,2023,2023,0
W4380303875,W3087520506,2023,2020,3
W4382699216,W4310903854,2023,2022,1
W4384814669,W3002514439,2023,2020,3
W4385318696,W3037896324,2023,2020,3
W4386604721,W3082929259,2023,2020,3
W4386634294,W3087520506,2023,2020,3
W4386648140,W3082929259,2023,2020,3
W4386859431,W3087520506,2023,2020,3
W3189901655,W3135164607,2022,2021,1
W3193471594,W3023596262,2022,2020,2
W3134170010,W3006624400,2021,2020,1
W4296185019,W3110897762,2022,2020,2
W4309962778,W3110910900,2022,2020,2
W3154516839,W3108357298,2021,2020,1
W4226378803,W3090611070,2022,2020,2
W4285817670,W3181865815,2022,2021,1
W4292749517,W3047095122,2022,2021,1
W4292749517,W4226378803,2022,2022,0
W4313339960,W3033445195,2022,2020,2
W4313339960,W4229366141,2022,2022,0
W4392984794,W4293702973,2024,2022,2
W4392984794,W4295907704,2024,2022,2
W4393002571,W3047095122,2024,2021,3
W4291397380,W4214551699,2022,2022,0
W3034200982,W3033445195,2020,2020,0
W4388086421,W3153348583,2023,2021,2
W3117326807,W3007289092,2020,2020,0
W3206096722,W3006624400,2021,2020,1
W4313478862,W4200233415,2022,2021,1
W4390695572,W3214890831,2024,2022,2
W4390707889,W3002514439,2024,2020,4
W4391470247,W4229767539,2024,2021,3
W4392110932,W3044763704,2024,2020,4
W4393234333,W3031371307,2024,2020,4
W4397021774,W4287378147,2024,2022,2
W4400653231,W4399849921,2024,2024,0
W4402346859,W4390187328,2024,2023,1
W4403904831,W2990244380,2024,2020,4
W2780132326,W3158348195,2017,2021,-4
W3203439717,W3033445195,2021,2020,1
W3203439717,W3037896324,2021,2020,1
W3216536892,W3110897762,2021,2020,1
W4226257089,W3080125354,2022,2020,2
W4308482489,W3180066967,2022,2021,1
W4309402010,W3031481217,2022,2020,2
W4312070132,W3082929259,2022,2020,2
W4327608143,W3180066967,2023,2021,2
W4362596793,W3193616607,2023,2021,2
W4385830020,W3102288906,2023,2020,3
W4403788233,W3082929259,2024,2020,4
W4403836410,W4389219195,2024,2023,1
W4403839258,W3036271934,2024,2020,4
W4404879426,W3159194255,2024,2021,3
W4404885138,W4362460292,2024,2023,1
W4405207255,W3037896324,2024,2020,4
W4253103194,W3033445195,2021,2020,1
W4283646964,W3033445195,2022,2020,2
W4292064992,W3082929259,2022,2020,2
W4295124802,W3024050673,2022,2020,2
W4308189665,W3089166729,2022,2020,2
W4387058507,W3082929259,2023,2020,3
W4388728855,W4226378803,2023,2022,1
W4388741835,W3004438196,2023,2020,3
W4390621930,W3033445195,2023,2020,3
W4391484321,W3087520506,2024,2020,4
W4398766860,W4385196661,2024,2023,1
W4398778276,W4387609302,2024,2023,1
W4399495074,W3007289092,2024,2020,4
W4401608426,W4362500842,2024,2023,1
W4401609194,W3093156908,2024,2020,4
W4404935976,W4389219195,2024,2023,1
W4405590417,W4389219195,2024,2023,1
W4405603969,W3104456695,2024,2020,4
W4405624648,W4362666447,2024,2023,1
W3081119769,W3098269486,2022,2020,2
W4200630628,W3002514439,2022,2020,2
W4285798354,W3087520506,2022,2020,2
W4327580682,W3098269486,2023,2020,3
W4375861885,W3082929259,2023,2020,3
W4385730927,W3091426098,2023,2020,3
W4382057888,W3103249619,2023,2020,3
W4386690751,W4313593941,2023,2023,0
W4387357219,W3082929259,2023,2020,3
W4389938631,W3082929259,2023,2020,3
W4390607088,W3082929259,2024,2020,4
W4313529774,W3149452038,2023,2021,2
W4319229501,W3014685674,2023,2020,3
W4385266161,W4226378803,2023,2022,1
W4385968447,W3033445195,2023,2020,3
W4385976110,W3006371779,2023,2020,3
W3203589299,W2999954992,2023,2020,3
W4317679872,W3004438196,2023,2020,3
W4382751905,W3180066967,2023,2021,2
W4384131007,W3091426098,2023,2020,3
W4385272808,W4323666617,2023,2023,0
W4385968351,W3115721367,2023,2020,3
W4388039325,W4378576332,2023,2023,0
W4388105318,W3159194255,2023,2021,2
W4309951198,W3082929259,2022,2020,2
W4385721410,W4206961112,2023,2022,1
W4386554751,W3126904748,2023,2021,2
W4388726601,W3082929259,2023,2020,3
W4398792723,W3158673359,2024,2020,4
W4402119405,W3153348583,2024,2021,3
W4402119405,W4323666617,2024,2023,1
W4402119405,W4379377497,2024,2023,1
W4403080955,W3091300748,2024,2020,4
W4296786061,W3082929259,2022,2020,2
W4386438034,W4362460292,2023,2023,0
W4318474542,W3002514439,2023,2020,3
W3201334502,W3087520506,2021,2020,1
W4205417809,W3112705461,2022,2020,2
W4205417809,W3127814427,2022,2021,1
W4312115052,W3036271934,2022,2020,2
W4308657225,W3103249619,2022,2020,2
W2951579390,W3031481217,2019,2020,-1
W4290759209,W3181865815,2022,2021,1
W4322763717,W3002514439,2023,2020,3
W4394014733,W3108357298,2024,2020,4
W3112352587,W3002514439,2021,2020,1
W3116621509,W3082618107,2020,2020,0
W3011280190,W2990244380,2020,2020,0
W3041790447,W3033445195,2020,2020,0
W3127757974,W3036271934,2021,2020,1
W4229448142,W3014685674,2022,2020,2
W4385548914,W3033445195,2023,2020,3
W4385548914,W4318218827,2023,2023,0
W4401552000,W4388233674,2024,2023,1
W4401556208,W3206901960,2024,2021,3
W4404084309,W3007095275,2024,2020,4
W4405486993,W4399285582,2024,2024,0
W4405543964,W4376286488,2024,2023,1
W4405543964,W4392446537,2024,2024,0
W3195304125,W3033445195,2021,2020,1
W4377263807,W3214890831,2023,2022,1
W4377823026,W4206961112,2023,2022,1
W4378416753,W3002514439,2023,2020,3
W4386481853,W3104456695,2023,2020,3
W4386973526,W3104456695,2023,2020,3
W4317734445,W3098269486,2023,2020,3
W4317734445,W3126904748,2023,2021,2
W4317734445,W3157370420,2023,2021,2
W4317734445,W3179623808,2023,2022,1
W4327703238,W4282975246,2023,2022,1
W4385683580,W4282975246,2023,2022,1
W4390274681,W3002514439,2023,2020,3
W4390274681,W3100150241,2023,2020,3
W4390274681,W3112705461,2023,2020,3
W4390274681,W3203271498,2023,2021,2
W4390863142,W3006371779,2024,2020,4
W4400448714,W4322709454,2024,2023,1
W4313627731,W3104456695,2023,2020,3
W4322767777,W2999954992,2023,2020,3
W4327914592,W3002514439,2023,2020,3
W4362662685,W3037896324,2023,2020,3
W4366340860,W3002514439,2023,2020,3
W4385518078,W3004438196,2023,2020,3
W4385709303,W4313593941,2023,2023,0
W4387457752,W4200424813,2023,2021,2
W4389197349,W3108332904,2023,2020,3
W4390884716,W3193616607,2024,2021,3
W4395685734,W3093156908,2024,2020,4
W3199904597,W3108357298,2021,2020,1
W4220775619,W3094008430,2022,2020,2
W4318537305,W3033445195,2023,2020,3
W4318537305,W3036216932,2023,2020,3
W4318537305,W3037896324,2023,2020,3
W4378980495,W3086001655,2023,2020,3
W4385448833,W3108332904,2023,2020,3
W4386501711,W3082929259,2023,2020,3
W4389751805,W3102997183,2023,2020,3
W4390404779,W3104456695,2023,2020,3
W4392463445,W3102288906,2024,2020,4
W4399505891,W3173189857,2024,2021,3
W3162804954,W3186557962,2022,2021,1
W3200250336,W3002514439,2022,2020,2
W4206767900,W3033445195,2022,2020,2
W4225123029,W3082929259,2022,2020,2
W4281666899,W3040914357,2022,2020,2
W4302009882,W2999954992,2022,2020,2
W4323027342,W3093156908,2022,2020,2
W4390584213,W3005209474,2024,2020,4
W4390584213,W3128923614,2024,2021,3
W3139458741,W3086001655,2021,2020,1
W3013152846,W3100150241,2020,2020,0
W4295346149,W3007289092,2022,2020,2
W3092997873,W3002514439,2021,2020,1
W3208418797,W3110910900,2021,2020,1
W3209228312,W3016392224,2021,2020,1
W3209228312,W3033445195,2021,2020,1
W3209228312,W3037896324,2021,2020,1
W3209228312,W3082929259,2021,2020,1
W4288388794,W4214546428,2022,2022,0
W3215649946,W3031481217,2022,2020,2
W3215649946,W3098269486,2022,2020,2
W3215649946,W3126904748,2022,2021,1
W3215649946,W3173189857,2022,2021,1
W3137312587,W3033445195,2021,2020,1
W3137312587,W3037896324,2021,2020,1
W3118892956,W3006371779,2021,2020,1
W3210626927,W3126904748,2021,2021,0
W4285299392,W3158673359,2022,2020,2
W4296101087,W3005209474,2022,2020,2
W3090566173,W3031481217,2020,2020,0
W4214740869,W3006624400,2022,2020,2
W4285012094,W3115399118,2022,2020,2
W4303699769,W3173189857,2022,2021,1
W4303699769,W3215649946,2022,2022,0
W3202603732,W2999954992,2021,2020,1
W4213184295,W3193616607,2022,2021,1
W4392618346,W3029247755,2024,2020,4
W4392618404,W3029247755,2024,2020,4
W4392937523,W3013517570,2024,2020,4
W4393191522,W3029247755,2024,2020,4
W4393191522,W3091426098,2024,2020,4
W4394975116,W4282975246,2024,2022,2
W4394978403,W3082929259,2024,2020,4
W4394994581,W4319300024,2024,2023,1
W4395000018,W3180066967,2024,2021,3
W4395007416,W4253015820,2024,2021,3
W4395055321,W3023596262,2024,2020,4
W4399702271,W4206961112,2024,2022,2
W4400337417,W4362500842,2024,2023,1
W4400366988,W4200424813,2024,2021,3
W4402132110,W4362500842,2024,2023,1
W4402146100,W3007289092,2024,2020,4
W4402785853,W3087520506,2024,2020,4
W4403217178,W3000785296,2024,2020,4
W4403287119,W3082929259,2024,2020,4
W4403397323,W4388336451,2024,2023,1
W4403405585,W3186557962,2024,2021,3
W4403434159,W3007289092,2024,2020,4
W4403800179,W3033445195,2024,2020,4
W4404802505,W3104456695,2024,2020,4
W4404816497,W2990244380,2024,2020,4
W4405101376,W4319785981,2024,2023,1
W3159834299,W2999954992,2021,2020,1
W4212770206,W3091426098,2022,2020,2
W4212770206,W3207607446,2022,2021,1
W4214820638,W3102288906,2022,2020,2
W4293530940,W3002514439,2022,2020,2
W4297243658,W3036271934,2022,2020,2
W3104710246,W3102288906,2020,2020,0
W4307857565,W3033445195,2022,2020,2
W4391884900,W4378576332,2024,2023,1
W4297024791,W3082929259,2022,2020,2
W4300980721,W3214191366,2022,2021,1
W4304588699,W3013517570,2022,2020,2
W4306961081,W3082929259,2022,2020,2
W4313312069,W3040914357,2022,2020,2
W4319991631,W3161317927,2023,2020,3
W4360608362,W3082929259,2023,2020,3
W4360764299,W3044763704,2022,2020,2
W4376107839,W3086001655,2023,2020,3
W4383737090,W3169647704,2023,2021,2
W4385279838,W3158348195,2023,2021,2
W4385890334,W3193616607,2023,2021,2
W4385890334,W4382619350,2023,2023,0
W4386443276,W3033445195,2023,2020,3
W4387492133,W3217730222,2023,2021,2
W4389060493,W3215649946,2023,2022,1
W4389125004,W2999954992,2023,2020,3
W4389542364,W4362666447,2023,2023,0
W4389542519,W3082710058,2023,2020,3
W4389542519,W3093156908,2023,2020,3
W4389545060,W4362500842,2023,2023,0
W4389606850,W4313593941,2023,2023,0
W4389664285,W3040914357,2023,2020,3
W4389672464,W3002514439,2023,2020,3
W4391742676,W4391743083,2023,2023,0
W4391776584,W3181865815,2024,2021,3
W4391791186,W3161317927,2024,2020,4
W4391821424,W4389219195,2024,2023,1
W4391837645,W3104456695,2024,2020,4
W3110726124,W3086001655,2020,2020,0
W4360778426,W3102997183,2023,2020,3
W4376115593,W3103249619,2023,2020,3
W4379383126,W3104456695,2023,2020,3
W4384693628,W3002514439,2023,2020,3
W4387900536,W3104456695,2023,2020,3
W4389542251,W3082710058,2023,2020,3
W4389678320,W3206901960,2023,2021,2
W4390221336,W3082929259,2023,2020,3
W4394993666,W3007289092,2024,2020,4
W4399378033,W4399378033,2024,2024,0
W4400295747,W4385196661,2024,2023,1
W4400353741,W3082929259,2024,2020,4
W4401296554,W3047095122,2024,2021,3
W4401300791,W3082929259,2024,2020,4
W4401306120,W4214546428,2024,2022,2
W4403422576,W4395676102,2024,2024,0
W3108169651,W3014685674,2020,2020,0
W4223615197,W3102288906,2022,2020,2
W4200397113,W3087520506,2021,2020,1
W4206082101,W3033445195,2021,2020,1
W4206082101,W3037896324,2021,2020,1
W4200080444,W3102288906,2021,2020,1
W4280488881,W3177132279,2022,2021,1
W3165867195,W3153348583,2021,2021,0
W3202007761,W3033445195,2021,2020,1
W3202007761,W3036216932,2021,2020,1
W3202007761,W3180066967,2021,2021,0
W4200388728,W3007289092,2021,2020,1
W3197372024,W3153348583,2021,2021,0
W4291016693,W3006624400,2022,2020,2
W3100150241,W3002514439,2020,2020,0
W3176368795,W3024050673,2021,2020,1
W4283799005,W3033445195,2022,2020,2
W4283799005,W3036216932,2022,2020,2
W4283799005,W3037896324,2022,2020,2
W3119004822,W2990244380,2021,2020,1
W3205087675,W3102288906,2021,2020,1
W3089507659,W3033445195,2020,2020,0
W3199047002,W3102288906,2021,2020,1
W3217199293,W3002514439,2022,2020,2
W3217199293,W3100150241,2022,2020,2
W3217199293,W3112705461,2022,2020,2
W3217199293,W3127814427,2022,2021,1
W3217199293,W3179623808,2022,2022,0
W4226506616,W3149452038,2022,2021,1
W4290047151,W3040914357,2022,2020,2
W4294993061,W2999954992,2022,2020,2
W4226027972,W3002514439,2021,2020,1
W4226027972,W3100150241,2021,2020,1
W4226027972,W3112705461,2021,2020,1
W4226027972,W3179623808,2021,2022,-1
W4393199906,W3110897762,2024,2020,4
W3098269486,W3002514439,2020,2020,0
W3098269486,W3031481217,2020,2020,0
W4307433227,W3082929259,2022,2020,2
W4316465787,W3037896324,2023,2020,3
W4387807469,W4294266749,2023,2022,1
W4285249450,W3007289092,2022,2020,2
W3175474415,W3153348583,2021,2021,0
W3177233051,W3014685674,2021,2020,1
W4281855222,W3006624400,2022,2020,2
W4284960674,W3002514439,2022,2020,2
W3034731022,W3002514439,2020,2020,0
W3207294904,W3173189857,2022,2021,1
W3193464686,W3104456695,2021,2020,1
W3195082345,W3002514439,2021,2020,1
W3195082345,W3100150241,2021,2020,1
W4214914532,W3087520506,2022,2020,2
W4220809910,W3007289092,2022,2020,2
W4220885378,W3082929259,2022,2020,2
W4220885378,W3128923614,2022,2021,1
W4281668635,W3023112091,2022,2020,2
W4287831390,W4200490990,2022,2021,1
W4307497495,W3082929259,2022,2020,2
W4311174573,W3102288906,2022,2020,2
W4378233227,W3031371307,2023,2020,3
W4378233227,W3031481217,2023,2020,3
W4378233227,W3157370420,2023,2021,2
W4393391655,W4248958206,2024,2021,3
W4377205940,W4285796145,2023,2022,1
W4382937353,W4294266749,2023,2022,1
W4387756696,W4319454769,2023,2023,0
W4390235442,W4319785981,2023,2023,0
W4393392957,W4313593941,2024,2023,1
W4207018849,W3033445195,2022,2020,2
W3133734645,W3103249619,2021,2020,1
W3196308759,W3036271934,2021,2020,1
W4221011060,W3108332904,2022,2020,2
W4285105094,W2990244380,2022,2020,2
W4210805031,W3082710058,2022,2020,2
W3091825402,W3007289092,2020,2020,0
W4205745474,W3037896324,2022,2020,2
W4284975148,W3115721367,2022,2020,2
W4220815374,W3087520506,2022,2020,2
W4306412473,W3149452038,2022,2021,1
W4311856033,W4282975246,2022,2022,0
W2556737036,W4310903854,2016,2022,-6
W3198442367,W3040914357,2021,2020,1
W4382631155,W3149452038,2023,2021,2
W3102591585,W3007289092,2021,2020,1
W3188077426,W3031481217,2021,2020,1
W3212115150,W3082929259,2021,2020,1
W4280595946,W3044763704,2022,2020,2
W4284685462,W3047095122,2022,2021,1
W4286744818,W4211133211,2022,2020,2
W4293659633,W3102288906,2022,2020,2
W4322616135,W3203271498,2023,2021,2
W4353081313,W3015985181,2023,2020,3
W4379207861,W3007289092,2023,2020,3
W4387762519,W4386355978,2023,2023,0
W4389520833,W4206961112,2023,2022,1
W4390545969,W2999954992,2024,2020,4
W4392733993,W3007289092,2024,2020,4
W4394828524,W4385061719,2024,2023,1
W4304695557,W3086001655,2022,2020,2
W4398151436,W3082710058,2024,2020,4
W4398151436,W3093156908,2024,2020,4
W4401444207,W3103249619,2024,2020,4
W4404425756,W3082929259,2024,2020,4
W4404482928,W3103249619,2024,2020,4
W4404716919,W4353070493,2024,2023,1
W4404722117,W4293702973,2024,2022,2
W4404729555,W3007289092,2024,2020,4
W4405049641,W3198584830,2024,2021,3
W4405074185,W4391144065,2024,2024,0
W4405151340,W4362666447,2024,2023,1
W4405320174,W3005209474,2024,2020,4
W3100457743,W3033445195,2021,2020,1
W4225809235,W3157298323,2022,2021,1
W4225809235,W3173189857,2022,2021,1
W4385280891,W3126904748,2023,2021,2
W4285483943,W3157370420,2022,2021,1
W4388724455,W3006624400,2023,2020,3
W4390670060,W4214546428,2024,2022,2
W4390674785,W3082929259,2024,2020,4
W4391607946,W3108357298,2024,2020,4
W4394571197,W3110897762,2024,2020,4
W4312690218,W4286750298,2022,2022,0
W4365509820,W3087520506,2023,2020,3
W4367315799,W4230489919,2023,2020,3
W4385514788,W3103249619,2023,2020,3
W4385787449,W3007289092,2023,2020,3
W4387165346,W3082929259,2023,2020,3
W4390085443,W4319300024,2023,2023,0
W4390617034,W3002514439,2024,2020,4
W4390617034,W3100150241,2024,2020,4
W4390617034,W3112705461,2024,2020,4
W4390617034,W3179623808,2024,2022,2
W4390842646,W3094008430,2024,2020,4
W4393188562,W3007289092,2024,2020,4
W4393229103,W3037896324,2024,2020,4
W4396546429,W4253015820,2024,2021,3
W4400684029,W3103249619,2024,2020,4
W4401610301,W3103249619,2024,2020,4
W4401731916,W3087520506,2024,2020,4
W4402125598,W4362500842,2024,2023,1
